rank,relevance_score,skim_tier,cluster,title,year,authors,venue,type,doi,openalex_id,cited_by_count,query_sources,concepts,keywords,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,extraction_confidence,abstract
26,139.946,hostile_prior_work,grasp/contact manipulation,Affordance-Based Multi-Contact Whole-Body Pose Sequence Planning for Humanoid Robots in Unknown Environments,2018,Peter Kaiser; Christian Mandery; Andreas Boltres; Tamim Asfour,,article,https://doi.org/10.1109/icra.2018.8461087,https://openalex.org/W2892340150,6,robot contact affordance manipulation,Humanoid robot; Affordance; Human–computer interaction; Artificial intelligence; Computer science; Robotics; Robot; Motion planning; Focus (optics); Computer vision; Optics; Physics,Humanoid robot; Affordance; Human–computer interaction; Artificial intelligence; Computer science; Robotics; Robot; Motion planning; Focus (optics); Computer vision,Address a robotics or AI problem related to Affordance-Based Multi-Contact Whole-Body Pose Sequence Planning for Humanoid Robots in U....,"A domain-specific model, planner, or learned predictor described by the paper.",task labels remain meaningful across the deployment contexts considered,candidate contacts; gripper model; local surface geometry,graspability does not imply task affordance; unseen base approach directions,broad robotics motivation and related empirical settings,task-level conservation beyond local grasp/contact scores,abstract-level,"Despite impressive advances of humanoid robotics, the autonomous planning of whole-body loco-manipulation actions in unknown environments is still an open problem. In our previous work, we addressed two fundamental aspects related to this problem: 1) the autonomous detection of end-effector contact opportunities in unknown environments and 2) the goal-directed planning of multi-contact pose sequences, which can serve as the starting point for motion planning and control approaches of reduced complexity. Both problems suffer from the extensive amounts of possible solutions, particularly due to the complexity of humanoid robots and the multitude of available contact opportunities. In this paper, we propose a method for the planning of whole-body multi-contact tasks based on our previous work on vision-based detection of loco-manipulation affordances and whole-body multi-contact pose sequence planning. We demonstrate a combined approach for planning multi-contact pose sequences with a focus on the utilization of available end-effectors for stabilizing contacts with the environment during loco-manipulation tasks. The method is evaluated in simulation in multiple exemplary scenarios based on actual sensor data and the humanoid robot ARMAR-4."
27,139.944,hostile_prior_work,robot affordance learning,Extraction of Whole-Body Affordances for Loco-Manipulation Tasks,2015,Peter Kaiser; Nikolaus Vahrenkamp; F. Schultje; Júlia Borràs; Tamim Asfour,International Journal of Humanoid Robotics,article,https://doi.org/10.1142/s0219843615500310,https://openalex.org/W2172323324,18,robot manipulation clutter affordance,Affordance; Computer science; Humanoid robot; Human–computer interaction; Reachability; Action (physics); Robot; Flexibility (engineering); Set (abstract data type); Perception; Artificial intelligence; Key (lock),Affordance; Computer science; Humanoid robot; Human–computer interaction; Reachability; Action (physics); Robot; Flexibility (engineering); Set (abstract data type); Perception,Predict or learn where and how a robot can act on objects or parts from perception.,"A perception-to-affordance predictor trained from demonstrations, labels, or interaction.",affordance labels are object/part properties rather than censored access observations; base pose and clutter variation are covered by training data or can be ignored,robot morphology; base pose distribution; clutter process; action primitive frame,confusing inaccessible views with non-affordant parts; spurious base/clutter correlations,generic affordance prediction from perception,whether a failed affordance observation is intrinsic or only base/clutter-censored,abstract-level,"Humanoid robots that have to operate in cluttered and unstructured environments, such as man-made and natural disaster scenarios, require sophisticated sensorimotor capabilities. A crucial prerequisite for the successful execution of whole-body locomotion and manipulation tasks in such environments is the perception of the environment and the extraction of associated environmental affordances, i.e., the action possibilities of the robot in the environment. We believe that such a coupling between perception and action could be a key to substantially increase the flexibility of humanoid robots. In this paper, we approach the affordance-based generation of whole-body actions for stable locomotion and manipulation. We incorporate a rule-based system to assign affordance hypotheses to visually perceived environmental primitives in the scene. These hypotheses are then filtered using extended reachability maps that carry stability information, for identifying reachable affordance hypotheses. We then formulate the hypotheses in terms of a constrained inverse kinematics problem in order to find whole-body configurations that utilize a chosen set of hypotheses. The proposed methods are implemented and tested in simulated environments based on RGB-D scans as well as on a real robotic platform."
28,139.431,hostile_prior_work,robot affordance learning,The Affordance Template ROS package for robot task programming,2015,Stephen Hart; Paul C. Dinh; Kimberly Hambuchen,,article,https://doi.org/10.1109/icra.2015.7140073,https://openalex.org/W1522302154,83,3D affordance perception robotic manipulation|affordance learning robotic manipulation|affordance map robot navigation manipulation|cognitive robotics affordance manipulation|mobile manipulation task planning base placement|object affordance robot grasping manipulation|robot affordance mobile manipulation|robot contact affordance manipulation|robot manipulation clutter affordance|task and motion planning mobile manipulation clutter|transportable affordance robotic manipulation,Affordance; Computer science; Robot; Task (project management); Human–computer interaction; Artificial intelligence; Mobile robot; GRASP; Robotics; Object (grammar); Engineering; Software engineering,Affordance; Computer science; Robot; Task (project management); Human–computer interaction; Artificial intelligence; Mobile robot; GRASP; Robotics; Object (grammar),Predict or learn where and how a robot can act on objects or parts from perception.,"A perception-to-affordance predictor trained from demonstrations, labels, or interaction.",affordance labels are object/part properties rather than censored access observations; base pose and clutter variation are covered by training data or can be ignored,robot morphology; base pose distribution; clutter process; action primitive frame,confusing inaccessible views with non-affordant parts; spurious base/clutter correlations,generic affordance prediction from perception,whether a failed affordance observation is intrinsic or only base/clutter-censored,abstract-level,"This paper introduces the Affordance Template ROS package for quickly programming, adjusting, and executing robot applications in the ROS RViz environment. This package extends the capabilities of RViz interactive markers [1] by allowing an operator to specify multiple end-effector waypoint locations and grasp poses in object-centric coordinate frames and to adjust these waypoints in order to meet the run-time demands of the task (specifically, object scale and location). The Affordance Template package stores task specifications in a robot-agnostic JSON description format such that it is trivial to apply a template to a new robot. As such, the Affordance Template package provides a robot-generic ROS tool appropriate for building semi-autonomous, manipulation-based applications. Affordance Templates were developed by the NASA-JSC DARPA Robotics Challenge (DRC) team and have since successfully been deployed on multiple platforms including the NASA Valkyrie and Robonaut 2 humanoids, the University of Texas Dreamer robot and the Willow Garage PR2. In this paper, the specification and implementation of the affordance template package is introduced and demonstrated through examples for wheel (valve) turning, pick-and-place, and drill grasping, evincing its utility and flexibility for a wide variety of robot applications."
29,138.947,hostile_prior_work,mobile manipulation and base placement,Development of Human Support Robot as the research platform of a domestic mobile manipulator,2019,Takashi Yamamoto; Koji Terada; Akiyoshi Ochiai; Fuminori Saito; Yoshiaki Asahara; Kazuto Murase,ROBOMECH Journal,article,https://doi.org/10.1186/s40648-019-0132-3,https://openalex.org/W2947311533,231,mobile manipulator reachability base pose manipulation|robot manipulation in clutter rearrangement|robot object rearrangement clutter manipulation|robot reachability map mobile manipulation|task and motion planning mobile manipulation clutter|whole body planning mobile manipulator manipulation,Mobile robot; Robot; Computer science; Mobile manipulator; Robotics; Engineering; Artificial intelligence,Mobile robot; Robot; Computer science; Mobile manipulator; Robotics; Engineering; Artificial intelligence,Choose base/whole-body configurations that make manipulation tasks feasible.,"A domain-specific model, planner, or learned predictor described by the paper.",the manipulation target or affordance query is already fixed before base planning; reachability is sufficient to represent action success,object affordance predicate; contact semantics; environment map quality,reachable but semantically wrong contacts; clutter-induced censoring of affordance evidence,base-pose selection and whole-body feasibility reasoning,how object affordances should be conserved while access changes,abstract-level,"There has been an increasing interest in mobile manipulators that are capable of performing physical work in living spaces worldwide, corresponding to an aging population with declining birth rates with the expectation of improving quality of life (QoL). We assume that overall research and development will accelerate by using a common robot platform among a lot of researchers since that enables them to share their research results. Therefore we have developed a compact and safe research platform, Human Support Robot (HSR), which can be operated in an actual home environment and we have provided it to various research institutes to establish the developers community. Currently, the number of HSR users is expanding to 44 sites in 12 countries worldwide (as of November 30th, 2018). To activate the community, we assume that the robot competition will be effective. As a result of international public offering, HSR has been adopted as a standard platform for international robot competitions such as RoboCup@Home and World Robot Summit (WRS). HSR is provided to participants of those competitions. In this paper, we describe HSR’s development background since 2006, and technical detail of hardware design and software architecture. Specifically, we describe its omnidirectional mobile base using the dual-wheel caster-drive mechanism, which is the basis of HSR’s operational movement and a novel whole body motion control system. Finally, we describe the verification of autonomous task capability and the results of utilization in RoboCup@Home in order to demonstrate the effect of introdu..."
30,138.817,hostile_prior_work,mobile manipulation and base placement,Elastic Roadmaps: Globally Task-Consistent Motion for Autonomous Mobile Manipulation in Dynamic Environments,2006,Y. Yang; Oliver Brock,,article,https://doi.org/10.15607/rss.2006.ii.036,https://openalex.org/W255922872,74,mobile manipulation task planning base placement|whole body planning mobile manipulator manipulation,Workspace; Kinematics; Computer science; Task (project management); Motion (physics); Motion planning; Mobile manipulator; Control engineering; Trajectory; Mobile robot; Control theory (sociology); Simulation,Workspace; Kinematics; Computer science; Task (project management); Motion (physics); Motion planning; Mobile manipulator; Control engineering; Trajectory; Mobile robot,Choose base/whole-body configurations that make manipulation tasks feasible.,"A domain-specific model, planner, or learned predictor described by the paper.",the manipulation target or affordance query is already fixed before base planning; reachability is sufficient to represent action success,object affordance predicate; contact semantics; environment map quality,reachable but semantically wrong contacts; clutter-induced censoring of affordance evidence,base-pose selection and whole-body feasibility reasoning,how object affordances should be conserved while access changes,abstract-level,"The autonomous execution of manipulation tasks in unstructured, dynamic environments requires the consideration of various motion constraints. Any motion performed during the manipulation task has to satisfy constraints imposed by the task itself, but also has to consider kinematic and dynamic limitations of the manipulator, avoid unpredictably moving obstacles, and observe constraints imposed by the global connectivity of the workspace. Furthermore, the unpredictability of unstructured environments requires the continuous incorporation of feedback to reliably satisfy these constraints. We present a novel feedback motion planning approach, called elastic roadmap framework, capable of satisfying all of the motion constraints that arise in autonomous mobile manipulation and their respective feedback requirements. This framework is validated with simulation experiments using a mobile manipulation platform and a stationary manipulator."
31,138.708,hostile_prior_work,reachability and workspace models,Optimal Order Pick-and-Place of Objects in Cluttered Scene by a Mobile Manipulator,2021,Fengyi Wang; J. Rogelio Guadarrama-Olvera; Gordon Cheng,IEEE Robotics and Automation Letters,article,https://doi.org/10.1109/lra.2021.3093021,https://openalex.org/W3176770820,14,robot manipulation in clutter rearrangement|robot object rearrangement clutter manipulation|task and motion planning mobile manipulation clutter,Monotone polygon; Computer science; Reachability; Scalability; Motion planning; Mobile manipulator; Sequence (biology); Path (computing); Object (grammar); Computer vision; Artificial intelligence; Planner,Monotone polygon; Computer science; Reachability; Scalability; Motion planning; Mobile manipulator; Sequence (biology); Path (computing); Object (grammar); Computer vision,Represent whether an end effector can reach task frames under robot kinematics.,"A reachability map, inverse reachability model, or kinematic feasibility estimator.",kinematic reachability can stand in for task affordance; clutter and contact semantics are external to the reachability model,task/contact success model; object state; obstacle dynamics,reachable contacts that fail task semantics; blocked swept volumes; calibration error,using reachability as a manipulation feasibility signal,how to quotient reachability out of affordance labels instead of replacing them,abstract-level,"In this letter, we present a fast method for autonomously planing manipulation tasks for mobile manipulators. The planner defines an optimal order to perform pick-and-place operations for taking objects from a cluttered scene to specific deposit areas considering both, manipulator and mobile base motion. Our method first examines the grasping feasibility of the objects with an inverse reachability map. Then, it defines all the placing locations for the objects and analyses the corresponding preconditions to reach them. Finally, it defines a sequence for rearranging the objects that minimize the execution time. We take advantage of the environment's underlying combinatorial structure to define the shortest path. In this work, we consider both the monotone case, where each object may be moved at most once, and the non-monotone cases. An experimental evaluation on the Human Support Robot (HSR) shows the effectiveness of our solutions and the scalability of our method as the number of objects increases for both cases. Tests on monotone problem instances with 20 objects show the proposed method can save up to 17% base traveling time when comparing to baseline methods at the cost of less than 9 seconds planning time. In a test on a simple non-monotone instance, the proposed method further reduces the total execution time by 25% by minimizing the total number of actions in a few seconds of planning time. The characteristic speed in re-planning makes our method suitable for online usage."
32,138.303,hostile_prior_work,mobile manipulation and base placement,"Posture evaluation for mobile manipulators using manipulation ability, tolerance on grasping, and pose error of end-effector",2021,Satoshi Suzuki; Daisuke Endo; Kimitoshi Yamazaki,Advanced Robotics,article,https://doi.org/10.1080/01691864.2021.1899986,https://openalex.org/W3137303152,9,mobile manipulator reachability base pose manipulation,Robot end effector; Mobile manipulator; Artificial intelligence; Computer vision; Object (grammar); Computer science; Pose; Mobile robot; Manipulator (device); Control engineering; Control theory (sociology); Robot,Robot end effector; Mobile manipulator; Artificial intelligence; Computer vision; Object (grammar); Computer science; Pose; Mobile robot; Manipulator (device); Control engineering,Choose base/whole-body configurations that make manipulation tasks feasible.,"A domain-specific model, planner, or learned predictor described by the paper.",the manipulation target or affordance query is already fixed before base planning; reachability is sufficient to represent action success,object affordance predicate; contact semantics; environment map quality,reachable but semantically wrong contacts; clutter-induced censoring of affordance evidence,base-pose selection and whole-body feasibility reasoning,how object affordances should be conserved while access changes,abstract-level,"This paper presents a method for determining the posture of a mobile manipulator aiming to reach a target end-effector pose. A posture is composed of two parameters: the pose of the mobile platform and joint angles of the manipulator. To determine the platform pose rationally, we propose a novel posture evaluation method focusing on the pose error associated with the end-effector and caused by the accumulated positioning error of the platform. The proposed method implies not only using the pose error of the mobile platform but also considering the manipulation ability of the end-effector, as well as the tolerance region for grasping an object by the end-effector. The evaluation results can be used to analyze the stability of postures in terms of grasping a target object. In addition, we introduce a search-based method to identify appropriate poses of the mobile platform. We also consider an application example of a two-link three-joint mobile manipulator. Using such a robot, we explain a concrete calculation method used to estimate the tolerance region, and then, show the simulation results corresponding to posture evaluation and pose determination."
33,137.946,hostile_prior_work,grasp/contact manipulation,Affordance-Driven Next-Best-View Planning for Robotic Grasping,2023,Xuechao Zhang; Dong Wang; Han Sun; Weichuang Li; Bin Zhao; Zhigang Wang; Xiaoming Duan; Chongrong Fang; Xuelong Li; Jianping He,arXiv (Cornell University),preprint,https://doi.org/10.48550/arxiv.2309.09556,https://openalex.org/W4386875794,6,object affordance robot grasping manipulation|robot manipulation clutter affordance,Affordance; GRASP; Viewpoints; Object (grammar); Computer science; Human–computer interaction; Artificial intelligence; Component (thermodynamics); Robot; Computer vision; Software engineering; Thermodynamics,Affordance; GRASP; Viewpoints; Object (grammar); Computer science; Human–computer interaction; Artificial intelligence; Component (thermodynamics); Robot; Computer vision,Address a robotics or AI problem related to Affordance-Driven Next-Best-View Planning for Robotic Grasping.,"A domain-specific model, planner, or learned predictor described by the paper.",task labels remain meaningful across the deployment contexts considered,candidate contacts; gripper model; local surface geometry,graspability does not imply task affordance; unseen base approach directions,broad robotics motivation and related empirical settings,task-level conservation beyond local grasp/contact scores,abstract-level,"Grasping occluded objects in cluttered environments is an essential component in complex robotic manipulation tasks. In this paper, we introduce an AffordanCE-driven Next-Best-View planning policy (ACE-NBV) that tries to find a feasible grasp for target object via continuously observing scenes from new viewpoints. This policy is motivated by the observation that the grasp affordances of an occluded object can be better-measured under the view when the view-direction are the same as the grasp view. Specifically, our method leverages the paradigm of novel view imagery to predict the grasps affordances under previously unobserved view, and select next observation view based on the highest imagined grasp quality of the target object. The experimental results in simulation and on a real robot demonstrate the effectiveness of the proposed affordance-driven next-best-view planning policy. Project page: https://sszxc.net/ace-nbv/."
34,137.606,hostile_prior_work,robot affordance learning,"Affordances in Psychology, Neuroscience, and Robotics: A Survey",2016,Lorenzo Jamone; Emre Uğur; Angelo Cangelosi; Luciano Fadiga; Alexandre Bernardino; Justus Piater; José Santos-Victor,IEEE Transactions on Cognitive and Developmental Systems,article,https://doi.org/10.1109/tcds.2016.2594134,https://openalex.org/W2500440871,164,3D affordance perception robotic manipulation|action precondition learning robot manipulation|affordance learning robotic manipulation|affordance map robot navigation manipulation|cognitive robotics affordance manipulation|embodied AI manipulation affordance|object affordance robot grasping manipulation|robot affordance mobile manipulation|robot contact affordance manipulation|robot reachability map mobile manipulation|spatial affordance prediction robotics|visual affordance learning robotics manipulation,Affordance; Cognitive science; Robotics; Computer science; Artificial intelligence; Human–computer interaction; Data science; Neuroinformatics; Cognitive neuroscience; Robot; Psychology; Neuroscience,Affordance; Cognitive science; Robotics; Computer science; Artificial intelligence; Human–computer interaction; Data science; Neuroinformatics; Cognitive neuroscience; Robot,Predict or learn where and how a robot can act on objects or parts from perception.,"A perception-to-affordance predictor trained from demonstrations, labels, or interaction.",affordance labels are object/part properties rather than censored access observations; base pose and clutter variation are covered by training data or can be ignored,robot morphology; base pose distribution; clutter process; action primitive frame,confusing inaccessible views with non-affordant parts; spurious base/clutter correlations,generic affordance prediction from perception,whether a failed affordance observation is intrinsic or only base/clutter-censored,abstract-level,"The concept of affordances appeared in psychology during the late 60s as an alternative perspective on the visual perception of the environment. It was revolutionary in the intuition that the way living beings perceive the world is deeply influenced by the actions they are able to perform. Then, across the last 40 years, it has influenced many applied fields, e.g., design, human-computer interaction, computer vision, and robotics. In this paper, we offer a multidisciplinary perspective on the notion of affordances. We first discuss the main definitions and formalizations of the affordance theory, then we report the most significant evidence in psychology and neuroscience that support it, and finally we review the most relevant applications of this concept in robotics."
35,136.796,hostile_prior_work,grasp/contact manipulation,The Grasp Strategy of a Robot Passer Influences Performance and Quality of the Robot-Human Object Handover,2020,Valerio Ortenzi; Francesca Cini; Tommaso Pardi; Naresh Marturi; Rustam Stolkin; Peter Corke; Marco Controzzi,Frontiers in Robotics and AI,article,https://doi.org/10.3389/frobt.2020.542406,https://openalex.org/W3093162076,26,3D affordance perception robotic manipulation|object affordance robot grasping manipulation|spatial affordance prediction robotics|transportable affordance robotic manipulation,GRASP; Computer science; Task (project management); Robot; Affordance; Object (grammar); Handover; Human–computer interaction; Robotics; Artificial intelligence; Human–robot interaction; Perception,GRASP; Computer science; Task (project management); Robot; Affordance; Object (grammar); Handover; Human–computer interaction; Robotics; Artificial intelligence,Address a robotics or AI problem related to The Grasp Strategy of a Robot Passer Influences Performance and Quality of the Robot-Huma....,"A domain-specific model, planner, or learned predictor described by the paper.",task labels remain meaningful across the deployment contexts considered,candidate contacts; gripper model; local surface geometry,graspability does not imply task affordance; unseen base approach directions,broad robotics motivation and related empirical settings,task-level conservation beyond local grasp/contact scores,abstract-level,"Task-aware robotic grasping is critical if robots are to successfully cooperate with humans. The choice of a grasp is multi-faceted; however, the task to perform primes this choice in terms of hand shaping and placement on the object. This grasping strategy is particularly important for a robot companion, as it can potentially hinder the success of the collaboration with humans. In this work, we investigate how different grasping strategies of a robot passer influence the performance and the perceptions of the interaction of a human receiver. Our findings suggest that a grasping strategy that accounts for the subsequent task of the receiver improves substantially the performance of the human receiver in executing the subsequent task. The time to complete the task is reduced by eliminating the need of a post-handover re-adjustment of the object. Furthermore, the human perceptions of the interaction improve when a task-oriented grasping strategy is adopted. The influence of the robotic grasp strategy increases as the constraints induced by the object's affordances become more restrictive. The results of this work can benefit the wider robotics community, with application ranging from industrial to household human-robot interaction for cooperative and collaborative object manipulation."
36,136.678,hostile_prior_work,grasp/contact manipulation,Semantic Grasping Via a Knowledge Graph of Robotic Manipulation: A Graph Representation Learning Approach,2022,Ji Ho Kwak; Jaejun Lee; Joyce Jiyoung Whang; Sungho Jo,IEEE Robotics and Automation Letters,article,https://doi.org/10.1109/lra.2022.3191194,https://openalex.org/W4285613774,23,object affordance robot grasping manipulation,GRASP; Affordance; Computer science; Artificial intelligence; Object (grammar); Human–computer interaction; Robot; Graph; Component (thermodynamics); Representation (politics); Embedding; SMT placement equipment,GRASP; Affordance; Computer science; Artificial intelligence; Object (grammar); Human–computer interaction; Robot; Graph; Component (thermodynamics); Representation (politics),Address a robotics or AI problem related to Semantic Grasping Via a Knowledge Graph of Robotic Manipulation: A Graph Representation L....,"A domain-specific model, planner, or learned predictor described by the paper.",task labels remain meaningful across the deployment contexts considered,candidate contacts; gripper model; local surface geometry,graspability does not imply task affordance; unseen base approach directions,broad robotics motivation and related empirical settings,task-level conservation beyond local grasp/contact scores,abstract-level,"Semantic grasping aims to make stable robotic grasps suitable for specific object manipulation tasks. While existing semantic grasping models focus only on the grasping regions of objects based on their affordances, reasoning about which gripper to use for grasping, e.g., a rigid parallel-jaw gripper or a soft gripper, and how strongly to grasp the target object allows more sophisticated robotic manipulation. In this letter, we create a knowledge graph of robotic manipulation named roboKG to represent information about objects (e.g., the material and the components of an object), tasks, and appropriate robotic manipulation such as which component of an object to grasp, which gripper to use, and how strongly to grasp. Using knowledge graph embedding, we generate semantic representations of the entities and relations in roboKG, enabling us to make predictions on robotic manipulation. Based on the predicted gripper type, grasping component, and grasping force, a real robot performs seven different real-world tasks on 42 household objects, achieving an accuracy of 95.21%."
37,135.977,hostile_prior_work,robot affordance learning,"Perceiving, learning, and exploiting object affordances for autonomous pile manipulation",2014,Dov Katz; Arun Venkatraman; Moslem Kazemi; J. Andrew Bagnell; Anthony Stentz,Autonomous Robots,article,https://doi.org/10.1007/s10514-014-9407-y,https://openalex.org/W2041108426,87,3D affordance perception robotic manipulation|affordance learning robotic manipulation|articulated object affordance robot manipulation|learning action models robot manipulation|object affordance robot grasping manipulation|robot contact affordance manipulation|robot manipulation clutter affordance|visual affordance learning robotics manipulation,Computer science; Affordance; Artificial intelligence; Object (grammar); Human–computer interaction; Action selection; Action (physics); Robot; Heuristic; GRASP; Task (project management); Software engineering,Computer science; Affordance; Artificial intelligence; Object (grammar); Human–computer interaction; Action selection; Action (physics); Robot; Heuristic; GRASP,Predict or learn where and how a robot can act on objects or parts from perception.,"A perception-to-affordance predictor trained from demonstrations, labels, or interaction.",affordance labels are object/part properties rather than censored access observations; base pose and clutter variation are covered by training data or can be ignored,robot morphology; base pose distribution; clutter process; action primitive frame,confusing inaccessible views with non-affordant parts; spurious base/clutter correlations,generic affordance prediction from perception,whether a failed affordance observation is intrinsic or only base/clutter-censored,abstract-level,"Autonomous manipulation in unstructured environments presents roboticists with three fundamental challenges: object segmentation, action selection, and motion generation. These challenges become more pronounced when unknown manmade or natural objects are cluttered together in a pile. We present an end-to-end approach to the problem of manipulating unknown objects in a pile, with the objective of removing all objects from the pile and placing them into a bin. Our robot perceives the environment with an RGB-D sensor, segments the pile into objects using non-parametric surface models, computes the affordances of each object, and selects the best affordance and its associated action to execute. Then, our robot instantiates the proper compliant motion primitive to safely execute the desired action. For efficient and reliable action selection, we developed a framework for supervised learning of manipulation expertise. We conducted dozens of trials and report on several hours of experiments involving more than 1500 interactions. The results show that our learning-based approach for pile manipulation outperforms a common sense heuristic as well as a random strategy, and is on par with human action selection."
38,135.178,hostile_prior_work,grasp/contact manipulation,Learning Push-Grasping in Dense Clutter,2022,Marios Kiatos; Iason Sarantopoulos; Leonidas Koutras; Sotiris Malassiotis; Zoe Doulgeri,IEEE Robotics and Automation Letters,article,https://doi.org/10.1109/lra.2022.3188437,https://openalex.org/W4285164516,23,dexterous manipulation affordance learning|object affordance robot grasping manipulation|robot manipulation clutter affordance|robot manipulation in clutter rearrangement|robot manipulation reachable workspace clutter|robot object rearrangement clutter manipulation,GRASP; Affordance; Computer science; Artificial intelligence; Action (physics); Clutter; Robot; Computer vision; Task (project management); Object (grammar); Human–computer interaction; Prehensile tail,GRASP; Affordance; Computer science; Artificial intelligence; Action (physics); Clutter; Robot; Computer vision; Task (project management); Object (grammar),Address a robotics or AI problem related to Learning Push-Grasping in Dense Clutter.,"A domain-specific model, planner, or learned predictor described by the paper.",task labels remain meaningful across the deployment contexts considered,candidate contacts; gripper model; local surface geometry,graspability does not imply task affordance; unseen base approach directions,broad robotics motivation and related empirical settings,task-level conservation beyond local grasp/contact scores,abstract-level,"Robotic grasping in highly cluttered environments remains a challenging task due to the lack of collision free grasp affordances. In such conditions, non-prehensile actions could help to increase such affordances. We propose a multi-fingered push-grasping policy that creates enough space for the fingers to wrap around an object to perform a stable power grasp, using a single primitive action. Our approach learns a direct mapping from visual observations to actions and is trained in a fully end-to-end manner. To achieve a more efficient learning, we decouple the action space by learning separately the robot hand pose and finger configuration. Experiments in simulation demonstrate that the proposed push-grasping policy achieves higher grasp success rate over baselines and it can generalize to unseen objects. Furthermore, although training is performed in simulation, the learned policy is robustly transferred to a real environment without a significant drop in success rate."
39,134.609,hostile_prior_work,mobile manipulation and base placement,An autonomous mobile manipulator for collecting sample containers,2014,Sankaranarayanan Natarajan; Sebastian Kasperski; Markus Eich,QUT ePrints (Queensland University of Technology),article,,https://openalex.org/W802026412,4,mobile manipulator reachability base pose manipulation,Reachability; Container (type theory); Mobile manipulator; Computer science; Sample (material); Mobile robot; Robot; Task (project management); GRASP; Manipulator (device); Interface (matter); Motion planning,Reachability; Container (type theory); Mobile manipulator; Computer science; Sample (material); Mobile robot; Robot; Task (project management); GRASP; Manipulator (device),Choose base/whole-body configurations that make manipulation tasks feasible.,"A domain-specific model, planner, or learned predictor described by the paper.",the manipulation target or affordance query is already fixed before base planning; reachability is sufficient to represent action success,object affordance predicate; contact semantics; environment map quality,reachable but semantically wrong contacts; clutter-induced censoring of affordance evidence,base-pose selection and whole-body feasibility reasoning,how object affordances should be conserved while access changes,abstract-level,In this work we present an autonomous mobile ma- nipulator that is used to collect sample containers in an unknown environment. The manipulator is part of a team of heterogeneous mobile robots that are to search and identify sample containers in an unknown environment. A map of the environment along with possible positions of sample containers are shared between the robots in the team by using a cloud-based communication interface. To grasp a container with its manipulator arm the robot has to place itself in a position suitable for the manipulation task. This optimal base placement pose is selected by querying a precomputed inverse reachability database.
40,134.446,hostile_prior_work,reachability and workspace models,A Shared Autonomous Nursing Robot Assistant with Dynamic Workspace for Versatile Mobile Manipulation,2023,Nikita Boguslavskii; Zhuoyun Zhong; Lorena Maria Genua; Zhi Li,,article,https://doi.org/10.1109/iros55552.2023.10342401,https://openalex.org/W4389665618,6,robot manipulation reachable workspace clutter,Testbed; Computer science; Workspace; Robot; Human–computer interaction; Reachability; Mobile robot; Simulation; Artificial intelligence; Theoretical computer science; Computer network,Testbed; Computer science; Workspace; Robot; Human–computer interaction; Reachability; Mobile robot; Simulation; Artificial intelligence,Represent whether an end effector can reach task frames under robot kinematics.,"A reachability map, inverse reachability model, or kinematic feasibility estimator.",kinematic reachability can stand in for task affordance; clutter and contact semantics are external to the reachability model,task/contact success model; object state; obstacle dynamics,reachable contacts that fail task semantics; blocked swept volumes; calibration error,using reachability as a manipulation feasibility signal,how to quotient reachability out of affordance labels instead of replacing them,abstract-level,"This paper presents a novel integration of a shared autonomous mobile humanoid robot for remote nursing assistance. The proposed nursing robot has a motorized versatile supporting structure to allow flexible integration of the system components, autonomously adjust its mobile manipulation workspace and improve its reachability and manipulability to operate in a cluttered environment. The robot also provides a novel integration of robot autonomy to reduce the human effort to coordinate the motorized chest and arm motion, control the precise manipulation of objects and camera viewpoint, and handle complex collision avoidance in human-guided gross manipulation. Moreover, we developed an open-source virtual testbed that integrates ROS- and Unity-based robot simulation and benchmark mobile manipulation nursing tasks and scenarios in a realistic simulation of a hospital environment. The virtual testbed supports various contemporary gaming and AR/VR interfaces to control the virtual human and robots, and provides autonomy for navigation, manipulation, and remote active perception assistance. We conducted a user study (N=9) to validate that the versatile supporting structure and shared autonomy of the physical testbed can effectively reduce the human effort to control unstructured manipulation, and improve the robot's reachability and manipulability. In addition, we conducted a pilot study (N=8) to test the usability of the virtual testbed and collect feedback from representative users."
